gene_symbol	entrez_id	method	cell_type	cell_line	cancer_cell	senescence_type	senescence_effect	description	organism
MOB3A	126308	"Overexpression"	"Lung fibroblast, Embryonic kidney"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
MORC3	23515	"Overexpression"	"Lung fibroblast"	"WI-38"	"No"	"Replicative"	"Promotes"	"Overexpression of MORC3 inhibited proliferation of WI-38 human normal fibroblasts and induced premature senescence, marked by a large flat morphology of cells and an increase in SA-beta-galactosidase activity."	"Overexpression of MORC3 inhibited proliferation of WI-38 human normal fibroblasts and induced premature senescence, marked by a large flat morphology of cells and an increase in SA-beta-galactosidase activity."
MORF4	10934	"Overexpression"	"Fibrosarcoma"	"HT1080, A9"	"Yes"	"Replicative"	"Promotes"	"Overexpression of MORF4 induced a senescent-like phenotype in fibrosarcoma-derived cells, including senescence-specific morphological changes and increased SA-beta-galactosidase activity."	"Overexpression of MORF4 induced a senescent-like phenotype in fibrosarcoma-derived cells, including senescence-specific morphological changes and increased SA-beta-galactosidase activity."
MVK	4598	"Overexpression"	"Embryonic kidney, Lung fibroblast"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
MXD4	10608	"Overexpression"	"Lung fibroblast"	"WI-38"	"No"	"Replicative"	"Promotes"	"Overexpression of hMad4 (MXD4) in human lung fibroblasts induced a replicative-like senescent phenotype, including flat and enlarged cell morphology and increased SA-beta-galactosidase activity."	"Overexpression of hMad4 (MXD4) in human lung fibroblasts induced a replicative-like senescent phenotype, including flat and enlarged cell morphology and increased SA-beta-galactosidase activity."
MYC	4609	"Knockout"	"Fibroblast"	"LF1"	"No"	"Oncogene-induced"	"Inhibits"	"Knockdown of c-Myc (MYC) signalling in human diploid fibroblats (HDFs) was found to trigger telomere-independent senescence. This process was mediated by cyclin-dependent kinase inhibitor p16, a common marker of senescence."	"Knockdown of c-Myc (MYC) signalling in human diploid fibroblats (HDFs) was found to trigger telomere-independent senescence. This process was mediated by cyclin-dependent kinase inhibitor p16, a common marker of senescence."
MYLK	4638	"Knockdown"	"Retinal pigment epithelial, Embryonic kidney"	"hTERT-RPE1, HEK293T"	"Yes"	"Replicative"	"Inhibits"	"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including MYLK) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression."	"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including MYLK) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression."
NADK	65220	"Overexpression"	"Embryonic kidney, Lung fibroblast"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
NANOG	79923	"Overexpression"	"Fibroblast, Dermal fibroblast"	"NIH3T3, Oct4-GiP"	"Yes"	"Replicative"	"Inhibits"	"NANOG enhanced the proliferation of both NIH 3T3 and primary fibroblast cells. NANOG transduction into primary fibroblasts resulted in decreased SA-beta-galactosidase activity. Investigation of cell cycle factors revealed that transient activation of NANOG correlated with consistent downregulation of the cell cycle inhibitor p27, a common marker of senescence."	"NANOG enhanced the proliferation of both NIH 3T3 and primary fibroblast cells. NANOG transduction into primary fibroblasts resulted in decreased SA-beta-galactosidase activity. Investigation of cell cycle factors revealed that transient activation of NANOG correlated with consistent downregulation of the cell cycle inhibitor p27, a common marker of senescence."
NDRG1	10397	"Knockdown"	"Liver cancer"	"HepG2, Hep3B, Huh7, PLC/PRF/5"	"Yes"	"Replicative"	"Promotes"	"NDRG1 significantly impaired liver cancer cell growth by inducing extensive cellular senescence of liver cancer cells both in vitro and in vivo, accompanied by cell cycle arrest at the G1 phase. The observed antitumor effects of NDRG1 suppression were correlated with activation of major senescence-associated signalling pathways, such as upregulation of tumor suppressors p53, p21 and p16, and decreased phosphorylation of Rb1."	"NDRG1 significantly impaired liver cancer cell growth by inducing extensive cellular senescence of liver cancer cells both in vitro and in vivo, accompanied by cell cycle arrest at the G1 phase. The observed antitumor effects of NDRG1 suppression were correlated with activation of major senescence-associated signalling pathways, such as upregulation of tumor suppressors p53, p21 and p16, and decreased phosphorylation of Rb1."
NEK1	4750	"Knockdown"	"Embryonic kidney, Retinal pigment epithelial"	"hTERT-RPE1, HEK293T"	"Yes"	"Replicative"	"Inhibits"	"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including NEK1) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression."	"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including NEK1) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression."
NEK4	6787	"Knockdown"	"Foreskin fibroblast"	"BJ"	"No"	"Replicative, Stress-induced"	"Promotes"	"RNA interference of the Never in Mitosis Gene A (NIMA)-related protein kinase gene NEK4 disrupted entry into cellular senescence and extended the number of population doublings required to reach replicative senescence in several human fibroblast strains. These cells showed decreased transcription of the cyclin-dependent kinase inhibitor p21, a marker of senescence."	"RNA interference of the Never in Mitosis Gene A (NIMA)-related protein kinase gene NEK4 disrupted entry into cellular senescence and extended the number of population doublings required to reach replicative senescence in several human fibroblast strains. These cells showed decreased transcription of the cyclin-dependent kinase inhibitor p21, a marker of senescence."
NEK6	10783	"Overexpression"	"Lung cancer, Bladder cancer"	"EJ, NCI-H1299"	"Yes"	"Replicative"	"Inhibits"	"NEK6 expression was decreased both in the replicative senescence of human normal fibroblasts and premature senescence induced by p53 expression in EJ human bladder cancer cells and H1299 human lung cancer cells. Overexpression of NEK6 in EJ and H1299 cells completely suppressed p53-induced senescence, shown by a reduction of cell cycle arrest in G1 and G2 phases as well as a reduced effect of p53 expression on cyclin B and cdc2 protein levels. Overall, it appears that reduced expression of Nek6 is required for the p53-induced cellular senescence."	"NEK6 expression was decreased both in the replicative senescence of human normal fibroblasts and premature senescence induced by p53 expression in EJ human bladder cancer cells and H1299 human lung cancer cells. Overexpression of NEK6 in EJ and H1299 cells completely suppressed p53-induced senescence, shown by a reduction of cell cycle arrest in G1 and G2 phases as well as a reduced effect of p53 expression on cyclin B and cdc2 protein levels. Overall, it appears that reduced expression of Nek6 is required for the p53-induced cellular senescence."
NFE2L2	4780	"Knockout"	"Lung fibroblast"	"HFL-1"	"No"	"Replicative"	"Inhibits"	"Knockdown of NRF2 (NFE2L2) resulted in inhibition of proliferation and induction of premature senescence in HFL-1 fibroblasts, accompanied by typical senescent morphology, increased SA-beta-galactosidase activity and increased levels of p16."	"Knockdown of NRF2 (NFE2L2) resulted in inhibition of proliferation and induction of premature senescence in HFL-1 fibroblasts, accompanied by typical senescent morphology, increased SA-beta-galactosidase activity and increased levels of p16."
NINJ1	4814	"Overexpression"	"Hepatoma"	"Huh7"	"Yes"	"Replicative"	"Promotes"	"Overexpression of Ninjurin1 (NINJ1) resulted in growth inhibition, G1 cell cycle arrest, increased expression of p21, a decrease of CDK2 activity and the hypophosphorylation of Rb, as well as increased SA-beta-galactosidase activity."	"Overexpression of Ninjurin1 (NINJ1) resulted in growth inhibition, G1 cell cycle arrest, increased expression of p21, a decrease of CDK2 activity and the hypophosphorylation of Rb, as well as increased SA-beta-galactosidase activity."
NOTCH3	4854	"Knockdown"	"Glioma, Fibroblast, Melanoma, Foreskin fibroblast, Breast cancer"	"BJ, LF1, WS1, MDA-MB-231, A375P, T98G"	"Yes"	"Stress-induced"	"Promotes"	"NOTCH3 expression was elevated upon various senescence-inducing stimuli. This upregulation of Notch3 was required for the induction of p21 expression in senescent cells. Downregulation of Notch3 led to delayed onset of senescence and extended replicative lifespan, whereas expression of Notch3 was sufficient to activate senescence and p21 expression."	"NOTCH3 expression was elevated upon various senescence-inducing stimuli. This upregulation of Notch3 was required for the induction of p21 expression in senescent cells. Downregulation of Notch3 led to delayed onset of senescence and extended replicative lifespan, whereas expression of Notch3 was sufficient to activate senescence and p21 expression."
NOX4	50507	"Overexpression, Knockdown"	"Lung fibroblast, Breast epithelial"	"MCF-12A, TIG-3"	"No"	"Replicative"	"Promotes"	"Stable overexpression of NOX4 in normal breast epithelial cells resulted in H2O2 production, cellular senescence, resistance to apoptosis, and tumorigenic transformation. In contrast, inhibition of Nox4 in lung fibroblasts by RNA interference blocked the RasV12 senescent phenotype including beta-galactosidase activity, growth arrest and accumulation of tumor suppressors such as p53 and p16. This suggests that Nox-generated ROS transduce senescence signals by activating the p53 and p16 pathways."	"Stable overexpression of NOX4 in normal breast epithelial cells resulted in H2O2 production, cellular senescence, resistance to apoptosis, and tumorigenic transformation. In contrast, inhibition of Nox4 in lung fibroblasts by RNA interference blocked the RasV12 senescent phenotype including beta-galactosidase activity, growth arrest and accumulation of tumor suppressors such as p53 and p16. This suggests that Nox-generated ROS transduce senescence signals by activating the p53 and p16 pathways."
NR2E1	7101	"Knockout"	"Prostate epithelial, Lung fibroblast, Neural Stem"	"IMR-90, WI-38"	"No"	"Oncogene-induced"	"Unclear"	"NR2E1 knockdown human fibroblasts and epithelial cells showed restrained senescence. It was also shown that NR2E1 regulated CBX7 and restrained senescence in NSCs."	"NR2E1 knockdown human fibroblasts and epithelial cells showed restrained senescence. It was also shown that NR2E1 regulated CBX7 and restrained senescence in NSCs."
NTN4	59277	"Overexpression, Knockdown"	"Glioma"	"U-251MG, U-U118MG, T98G, U-87MG"	"Yes"	"Stress-induced"	"Inhibits"	"The suppression of either ITGB4 or NTN4 in glioblastoma cells (U87MG) significantly enhanced cellular senescence. The sensitivity of glioblastoma cells to TMZ was primarily determined by the expression of MGMT. To omit the effect of MGMT, cell lines devoid of MGMT expression were used. NTN4 partially inhibited TMZ induced cell senescence and rescued AKT from dephosphorylation in U251MG cells, a cell line bearing levels of ITGB4. However, addition of exogenous NTN4 displayed no significant effect on TMZ induced senescence rescue or AKT activation in U87MG cells, which expressed ITGB4 at low levels. Overexpression of ITGB4 combined with exogenous NTN4 significantly attenuated U87MG cell senescence induced by TMZ."	"The suppression of either ITGB4 or NTN4 in glioblastoma cells (U87MG) significantly enhanced cellular senescence. The sensitivity of glioblastoma cells to TMZ was primarily determined by the expression of MGMT. To omit the effect of MGMT, cell lines devoid of MGMT expression were used. NTN4 partially inhibited TMZ induced cell senescence and rescued AKT from dephosphorylation in U251MG cells, a cell line bearing levels of ITGB4. However, addition of exogenous NTN4 displayed no significant effect on TMZ induced senescence rescue or AKT activation in U87MG cells, which expressed ITGB4 at low levels. Overexpression of ITGB4 combined with exogenous NTN4 significantly attenuated U87MG cell senescence induced by TMZ."
NUAK1	9891	"Overexpression, Knockout"	"Lung fibroblast"	"WI-38"	"No"	"Replicative"	"Promotes"	"Knockdown of the AMPK-related protein kinase 5 (NUAK1) resulted in an extension of cellular replicative lifespan in normal human diploid fibroblasts. In contrast, ectopic expression of NUAK1 triggered premature senescence."	"Knockdown of the AMPK-related protein kinase 5 (NUAK1) resulted in an extension of cellular replicative lifespan in normal human diploid fibroblasts. In contrast, ectopic expression of NUAK1 triggered premature senescence."
OTX2	5015	"Overexpression"	"Medulloblastoma"	"MED8A, UW228-2, D458, D556, D283, DAOY, D425, D341"	"Yes"	"Replicative"	"Promotes"	"Conditional overexpression of OTX2 inhibited proliferation and induced a senescence-like phenotype in both MED8A and DAOY medulloblastoma cell lines."	"Conditional overexpression of OTX2 inhibited proliferation and induced a senescence-like phenotype in both MED8A and DAOY medulloblastoma cell lines."
P3H1	64175	"Knockdown"	"Lung fibroblast"	"IMR-90"	"No"	"Stress-induced, Replicative"	"Inhibits"	"Functional studies were performed by silencing nine genes in young cells, which demonstrated that RNA interference-mediated knockdown of P3H1, LIMA1, MAGOH and MAGOHB induced a premature senescent phenotype in IMR-90 cells."	"Functional studies were performed by silencing nine genes in young cells, which demonstrated that RNA interference-mediated knockdown of P3H1, LIMA1, MAGOH and MAGOHB induced a premature senescent phenotype in IMR-90 cells."
PAK4	10298	"Overexpression"	"Lung fibroblast, Embryonic kidney"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
PATZ1	23598	"Knockdown, Overexpression"	"Umbilical vein endothelial"	"Primary cell"	"No"	"Replicative"	"Inhibits"	"Knockdown of PATZ1 in young endothelial cells accelerated premature senescence, including growth arrest, increased p53 protein level and SA-beta-galactosidase activity and repressed endothelial cell tube formation. In contrast, overexpression of PATZ1 in senescent cells reversed senescent phenotypes."	"Knockdown of PATZ1 in young endothelial cells accelerated premature senescence, including growth arrest, increased p53 protein level and SA-beta-galactosidase activity and repressed endothelial cell tube formation. In contrast, overexpression of PATZ1 in senescent cells reversed senescent phenotypes."
PBRM1	55193	"Knockdown"	"Foreskin fibroblast"	"BJ"	"No"	"Replicative"	"Promotes"	"BAF180 (PBRM1) depletion using RNA interference resulted in both increased proliferation and delayed senescence."	"BAF180 (PBRM1) depletion using RNA interference resulted in both increased proliferation and delayed senescence."
PCGF2	7703	"Knockout, Overexpression"	"Foreskin fibroblast, Lung fibroblast"	"MRC-5, WI-38, BJ"	"No"	"Replicative"	"Promotes"	"Overexpression of Mel-18 (PCGF2) in normal human diploid fibroblasts lead to inhibition of cellular proliferation and induced premature senescence, marked by an increase in SA-beta-galactosidase activity. In contrast, knockdown of Mel-18 extended replicative lifespan."	"Overexpression of Mel-18 (PCGF2) in normal human diploid fibroblasts lead to inhibition of cellular proliferation and induced premature senescence, marked by an increase in SA-beta-galactosidase activity. In contrast, knockdown of Mel-18 extended replicative lifespan."
PDCD10	11235	"Knockout"	"Coronary artery endothelial, Lung fibroblast"	"Primary cell, IMR-90"	"No"	"Replicative, Oncogene-induced"	"Promotes"	"Loss of CCM3 (PDCD10) impaired the senescence response. CCM3 normally acts to induce the transcription factor C/EPB-beta, which normally implements the SASP. Induction of C/EBP-beta and cytokines was impaired in the absence of CCM3 in response to cytokines in nonsenescent cells, pointing to it being a primary defect and not secondary to impaired senescence. CCM3-deficient cells also had a defect in autophagy at late passages of culture and this defect was not dependent on impaired senescence, as it was evident in immortal cells after nutrient starvation. It was further postulated that these two defects may be related, as enforcing autophagy in CCM3-deficient late passage cells increases C/EBP-beta cytokine expression."	"Loss of CCM3 (PDCD10) impaired the senescence response. CCM3 normally acts to induce the transcription factor C/EPB-beta, which normally implements the SASP. Induction of C/EBP-beta and cytokines was impaired in the absence of CCM3 in response to cytokines in nonsenescent cells, pointing to it being a primary defect and not secondary to impaired senescence. CCM3-deficient cells also had a defect in autophagy at late passages of culture and this defect was not dependent on impaired senescence, as it was evident in immortal cells after nutrient starvation. It was further postulated that these two defects may be related, as enforcing autophagy in CCM3-deficient late passage cells increases C/EBP-beta cytokine expression."
PDIK1L	149420	"Overexpression"	"Lung fibroblast, Embryonic kidney"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
PDPK1	5170	"Overexpression"	"Lung fibroblast, Embryonic kidney"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
PDZD2	23037	"Overexpression"	"Breast cancer, Prostate cancer, Liver cancer"	"DU145"	"Yes"	"Replicative"	"Promotes"	"Expression of PDZD2 induced senescence of prostate cancer cells (DU145) and quiescence of breast cancer cells (MCF-7) and liver cancer cells (Hep-G2)."	"Expression of PDZD2 induced senescence of prostate cancer cells (DU145) and quiescence of breast cancer cells (MCF-7) and liver cancer cells (Hep-G2)."
PEBP1	5037	"Overexpression, Knockdown"	"Prostate cancer, Colon cancer, Lung cancer, Gastric cancer"	"A549, MKN45, PC-3, HCT116"	"Yes"	"Stress-induced"	"Promotes"	"Overexpression of RKIP (PEBP1) induced cellular senescence in several types of cell lines, including p53-deficient cells, whereas the elimination of RKIP by siRNA or forced expression of ERK blocked p53-mediated cellular senescence."	"Overexpression of RKIP (PEBP1) induced cellular senescence in several types of cell lines, including p53-deficient cells, whereas the elimination of RKIP by siRNA or forced expression of ERK blocked p53-mediated cellular senescence."
PEX19	5824	"Overexpression"	"Osteosarcoma"	"U2OS"	"Yes"	"Stress-induced"	"Promotes"	"Overexpression of PEX19 made cells more sensitive to 5AZA-dC-induced senescence, induces a stronger growth arrest and enhanced induction of p16."	"Overexpression of PEX19 made cells more sensitive to 5AZA-dC-induced senescence, induces a stronger growth arrest and enhanced induction of p16."
PIAS4	51588	"Overexpression"	"Lung fibroblast"	"WI-38"	"No"	"Replicative"	"Promotes"	"Overexpression of PIAS4 lead to a irreversible cell growth arrest (predominantly in the G1 phase), with cells exhibiting a flat cell morphology, increased SA-beta-galactosidase activity and an increased formation of SA-heterochromatin foci."	"Overexpression of PIAS4 lead to a irreversible cell growth arrest (predominantly in the G1 phase), with cells exhibiting a flat cell morphology, increased SA-beta-galactosidase activity and an increased formation of SA-heterochromatin foci."
PIK3C2A	5286	"Knockdown"	"Embryonic kidney, Retinal pigment epithelial"	"hTERT-RPE1, HEK293T"	"Yes"	"Replicative"	"Unclear"	"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including PIK3C2A) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression."	"Using a high-content siRNA screening assay for cell morphology and proliferation measures, 12 senescence-regulating kinases (including PIK3C2A) and their senescence marker signatures were determined, including elevation of SA-beta-galactosidase, DNA damage and p53 or p16 expression."
PIK3R5	23533	"Overexpression"	"Embryonic kidney, Lung fibroblast"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
PIM1	5292	"Overexpression, Knockdown"	"Foreskin fibroblast, Lung fibroblast"	"2BS, BJ, WI-38"	"No"	"Oncogene-induced, Replicative"	"Promotes"	"The expression of proto-oncogene PIM1 was induced at the transcriptional level during senescence. Ectopic expression of PIM1 resulted in premature senescence. Conversely, inhibition of PIM1 alleviated both replicative and oncogene-induced senescence. It was found that PIM1 interacted with, and phosphorylated, heterochromatin protein 1 gamma (HP1-gamma) on Ser93. This PIM1-mediated HP1-gamma phosphorylation, enhanced HP1-gamma's capacity to bind to H3K9me3, resulting in SA-heterochromatin foci formation and suppression of proliferative genes, such as CCNA2 and PCNA. Analysis of the mechanism underlying the up-regulation of PIM1 expression during senescence demonstrated that IL-6 was responsible for PIM1 induction."	"The expression of proto-oncogene PIM1 was induced at the transcriptional level during senescence. Ectopic expression of PIM1 resulted in premature senescence. Conversely, inhibition of PIM1 alleviated both replicative and oncogene-induced senescence. It was found that PIM1 interacted with, and phosphorylated, heterochromatin protein 1 gamma (HP1-gamma) on Ser93. This PIM1-mediated HP1-gamma phosphorylation, enhanced HP1-gamma's capacity to bind to H3K9me3, resulting in SA-heterochromatin foci formation and suppression of proliferative genes, such as CCNA2 and PCNA. Analysis of the mechanism underlying the up-regulation of PIM1 expression during senescence demonstrated that IL-6 was responsible for PIM1 induction."
PKM	5315	"Overexpression"	"Lung fibroblast, Embryonic kidney"	"IMR-90, MRC-5, HEK293T"	"No"	"Replicative"	"Promotes"	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."	"A library of 200 constitutively activated kinases was screened in order to identify kinases whose constitutive expression decreased cell proliferation and induced expression of senescence markers; p16 and SASP components. A total of 33 kinases showed pro-senescence effects (particularly MAP3K7, PRKCD, and MATK); kinases with strong pro-senescence effects, induced expression of SASP-component genes (e.g. IL1A, IL1B, IL6 and IL8) through activation of an NF-kappaB-dependent transcriptional program. Inhibition of the NF-kappaB, p53, or Rb pathway proved insufficient to prevent kinase-triggered cell cycle arrest."
PLA2R1	22925	"Overexpression, Knockout"	"Lung fibroblast"	"WI-38, IMR-90"	"No"	"Replicative"	"Promotes"	"Knockdown of the M-type receptor PLA2R1 prevented the onset of replicative senescence and diminished stress-induced senescence. Contrastly, ectopic expression of PLA2R1 resulted in premature senescence."	"Knockdown of the M-type receptor PLA2R1 prevented the onset of replicative senescence and diminished stress-induced senescence. Contrastly, ectopic expression of PLA2R1 resulted in premature senescence."
PML	5371	"Overexpression"	"Lung fibroblast"	"WI-38"	"No"	"Oncogene-induced"	"Promotes"	"Overexpression of PML induced senescence in human lung fibroblasts, in a p53-dependent manner. PML-overexpressing fibroblasts had arrested proliferation, accumulating in the G1 phase with no BrdU incorporation. The cells demonstrated a senescence phenotype becoming flat and enlarged and displayed increased SA-beta-galactosidase activity."	"Overexpression of PML induced senescence in human lung fibroblasts, in a p53-dependent manner. PML-overexpressing fibroblasts had arrested proliferation, accumulating in the G1 phase with no BrdU incorporation. The cells demonstrated a senescence phenotype becoming flat and enlarged and displayed increased SA-beta-galactosidase activity."
